21887328	not_similar
21907095	not_similar
11494364	not_similar
26333255	not_similar
26295712	not_similar
25662336	not_similar
24550389	not_similar
28642124	similar
18505871	not_similar
17715336	not_similar
12217951	not_similar
21170307	not_similar
23209427	not_similar
12091911	not_similar
24443562	not_similar
27155933	not_similar
21840924	not_similar
24323032	not_similar
11063736	not_similar
18412970	not_similar
15715978	similar
23316435	not_similar
11154280	not_similar
18787700	not_similar
24278347	not_similar
8910404	not_similar
26165466	not_similar
20864123	not_similar
16322221	not_similar
17409200	not_similar
15467433	not_similar
25760041	not_similar
15848234	not_similar
24924810	not_similar
10627141	not_similar
16423994	not_similar
9203583	not_similar
15475387	not_similar
23724141	not_similar
12223581	not_similar
10359802	not_similar
10434303	not_similar
28165127	not_similar
19465745	not_similar
12057899	not_similar
12895502	not_similar
18057311	not_similar
10429667	not_similar
16837128	not_similar
20053912	not_similar
10615123	not_similar
28334820	not_similar
21540131	not_similar
28827832	not_similar
26232222	similar
27913616	not_similar
17054581	not_similar
24403070	not_similar
18551179	not_similar
22289650	not_similar
25194673	not_similar
12697826	not_similar
28453523	not_similar
23933738	similar
15942939	not_similar
16260499	not_similar
23089356	not_similar
26047474	similar
9368761	not_similar
11901110	not_similar
10581038	similar
22072510	not_similar
